hj04004.txt       0.20230882       177.14826
hj04005.txt       0.25227608       185.67832
hj04006.txt       0.28059064       182.12391
hj04007.txt       0.30894818       172.57740
hj04008.txt       0.33730561       157.34188
hj04009.txt       0.36562020       136.93424
hj04010.txt       0.39397763       111.93904
hj04011.txt       0.42233514       83.174693
hj04012.txt       0.45064965       51.601621
hj04013.txt       0.47900719       18.123845
hj04014.txt       0.50736466      -16.152493
hj04015.txt       0.53567911      -50.091402
hj04017.txt       0.57757079      -97.511281
hj04018.txt       0.60592834      -126.26066
hj04019.txt       0.63428577      -151.23701
hj04020.txt       0.66260021      -171.62248
hj04021.txt       0.69095764      -186.83336
hj04022.txt       0.71931514      -196.35346
