      hj10001.txt   0.9138209956     95.2583112  2454482.5813346701
      hj10002.txt   0.9267107543     81.1543664  2454482.5848068399
      hj10003.txt   0.9395573773     66.5218560  2454482.5882673902
      hj10004.txt   0.9524470980     51.3585396  2454482.5917395498
      hj10005.txt   0.9653367461     35.8120835  2454482.5952116898
      hj10006.txt   0.9781834434     20.0374121  2454482.5986722601
      hj10007.txt   0.9910730915      4.0325139  2454482.6021444001
      hj10008.txt   0.0039627396    -12.0453633  2454482.6056165402
      hj10009.txt   0.0168095476    -28.0376623  2454482.6090771402
      hj10010.txt   0.0296992320    -43.9461906  2454482.6125492901
      hj10011.txt   0.0425458170    -59.5613042  2454482.6160098300
      hj10012.txt   0.0554355394    -74.8854002  2454482.6194819901
      hj10013.txt   0.0683251495    -89.7649978  2454482.6229541199
      hj10014.txt   0.0811717725   -104.0558791  2454482.6264146701
      hj10015.txt   0.0940614206   -117.7599876  2454482.6298868102
      hj10016.txt   0.1069080799   -130.6966822  2454482.6333473702
      hj10017.txt   0.1197977643   -142.8677225  2454482.6368195200
      hj10018.txt   0.1326874487   -154.1487352  2454482.6402916699
      hj10019.txt   0.1455341080   -164.4330100  2454482.6437522299
      hj10020.txt   0.1584237561   -173.7219522  2454482.6472243699
      hj10021.txt   0.1713134785   -181.9186517  2454482.6506965300
      hj10022.txt   0.1841601016   -188.9477054  2454482.6541570802
