nj06051_al      0.095079467       101.34970
nj06052_al       0.12343676       127.88494
nj06053_al       0.15175099       150.11609
nj06054_al       0.18010828       167.40668
nj06055_al       0.20846542       179.17198
nj06056_al       0.23677950       185.03526
nj06057_al       0.26513675       184.82864
nj07009_al       0.94828923      -68.645414
nj07010_al       0.97664652      -35.288348
nj07011_al     0.0050038516      -1.0387353
nj07012_al      0.033361218       33.019009
nj07013_al      0.061675595       65.758282
nj07014_al      0.090032812       96.241481
nj07015_al       0.11839021       123.45285
nj07016_al       0.14670444       146.49900
nj07017_al       0.17506170       164.72026
nj07018_al       0.20341891       177.50132
nj07019_al       0.23173314       184.43158
nj07020_al       0.26009084       185.31258
nj08007_al       0.57277899      -92.223963
nj08012_al       0.86463342      -152.01422
nj08013_al       0.89299078      -127.18164
nj08014_al       0.92130509      -98.592931
nj08015_al       0.94966230      -67.066704
nj08016_al       0.97801952      -33.641814
nj08017_al     0.0063768474      0.62357578
nj08018_al      0.034733954       34.644158
nj08019_al      0.063048255       67.295214
nj08020_al      0.091405398       97.641452
nj08021_al       0.11976276       124.67159
nj08022_al       0.14807688       147.49823
nj08023_al       0.17643414       165.46813
